Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Mayo 2015,"7,5 €/m2","+ 0,1 %","+ 1,5 %","+ 3,5 %"
Abril 2015,"7,4 €/m2","+ 0,9 %","+ 2,5 %","+ 3,5 %"
Marzo 2015,"7,4 €/m2","+ 0,4 %","+ 1,2 %","+ 2,8 %"
Febrero 2015,"7,3 €/m2","+ 1,1 %","+ 0,6 %","+ 2,4 %"
Enero 2015,"7,3 €/m2","- 0,3 %","+ 0,1 %","+ 1,4 %"
Diciembre 2014,"7,3 €/m2","- 0,2 %","+ 0,3 %","+ 1,3 %"
Noviembre 2014,"7,3 €/m2","+ 0,6 %","+ 0,2 %","+ 1,8 %"
Octubre 2014,"7,3 €/m2","- 0,1 %","+ 0,1 %","+ 1,5 %"
Septiembre 2014,"7,3 €/m2","- 0,3 %","+ 0,7 %","+ 1,0 %"
Agosto 2014,"7,3 €/m2","+ 0,5 %","+ 1,1 %","+ 0,3 %"
Julio 2014,"7,2 €/m2","+ 0,5 %","+ 0,8 %","+ 0,2 %"
Junio 2014,"7,2 €/m2","+ 0,1 %","+ 0,5 %","- 0,3 %"
Mayo 2014,"7,2 €/m2","+ 0,2 %","+ 0,5 %","- 0,3 %"
Abril 2014,"7,2 €/m2","+ 0,2 %","+ 0,4 %","- 0,6 %"
Marzo 2014,"7,2 €/m2","0,0 %","- 0,3 %","- 1,6 %"
Febrero 2014,"7,2 €/m2","+ 0,1 %","0,0 %","- 2,7 %"
Enero 2014,"7,2 €/m2","- 0,4 %","+ 0,2 %","- 3,0 %"
Diciembre 2013,"7,2 €/m2","+ 0,3 %","+ 0,1 %","- 3,9 %"
Noviembre 2013,"7,2 €/m2","+ 0,3 %","- 1,2 %","- 5,5 %"
