Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
19 Melilla;Total;2018;1.340
19 Melilla;Total;2017;1.342
19 Melilla;Total;2016;1.456
19 Melilla;Total;2015;1.510
19 Melilla;Total;2014;1.625
19 Melilla;Total;2013;1.509
19 Melilla;Total;2012;1.516
19 Melilla;Total;2011;1.455
19 Melilla;Total;2010;1.359
19 Melilla;Total;2009;1.273
19 Melilla;Total;2008;1.252
19 Melilla;Total;2007;1.112
19 Melilla;Total;2006;1.122
19 Melilla;Total;2005;1.012
19 Melilla;Total;2004;995
19 Melilla;Total;2003;1.107
19 Melilla;Total;2002;1.049
Extranjero;Total;2020;680
Extranjero;Total;2019;1.870
Extranjero;Total;2018;1.950
Extranjero;Total;2017;1.916
Extranjero;Total;2016;1.849
Extranjero;Total;2015;1.858
Extranjero;Total;2014;1.519
Extranjero;Total;2013;1.275
Extranjero;Total;2012;1.300
Extranjero;Total;2011;1.446
Extranjero;Total;2010;1.323
Extranjero;Total;2009;1.280
Extranjero;Total;2008;1.276
Extranjero;Total;2007;1.389
Extranjero;Total;2006;1.662
Extranjero;Total;2005;1.560
Extranjero;Total;2004;1.419
Extranjero;Total;2003;1.350
Extranjero;Total;2002;1.158
