Provincias;Sexo;Generación;Periodo;Total
02 Albacete;Ambos sexos;29 años;2011S1;-38
02 Albacete;Ambos sexos;29 años;2010S2;-13
02 Albacete;Ambos sexos;29 años;2010S1;-16
02 Albacete;Ambos sexos;29 años;2009S2;-1
02 Albacete;Ambos sexos;29 años;2009S1;-12
02 Albacete;Ambos sexos;29 años;2008S2;-6
02 Albacete;Ambos sexos;29 años;2008S1;-35
02 Albacete;Ambos sexos;30 años;2021S1;-6
02 Albacete;Ambos sexos;30 años;2020S2;-17
02 Albacete;Ambos sexos;30 años;2020S1;-18
02 Albacete;Ambos sexos;30 años;2019S2;-24
02 Albacete;Ambos sexos;30 años;2019S1;-31
02 Albacete;Ambos sexos;30 años;2018S2;-50
02 Albacete;Ambos sexos;30 años;2018S1;-30
02 Albacete;Ambos sexos;30 años;2017S2;-49
02 Albacete;Ambos sexos;30 años;2017S1;-3
02 Albacete;Ambos sexos;30 años;2016S2;-24
02 Albacete;Ambos sexos;30 años;2016S1;-31
02 Albacete;Ambos sexos;30 años;2015S2;-43
02 Albacete;Ambos sexos;30 años;2015S1;-32
02 Albacete;Ambos sexos;30 años;2014S2;-18
02 Albacete;Ambos sexos;30 años;2014S1;-39
02 Albacete;Ambos sexos;30 años;2013S2;-25
02 Albacete;Ambos sexos;30 años;2013S1;-36
02 Albacete;Ambos sexos;30 años;2012S2;-16
02 Albacete;Ambos sexos;30 años;2012S1;-15
02 Albacete;Ambos sexos;30 años;2011S2;-10
02 Albacete;Ambos sexos;30 años;2011S1;-35
02 Albacete;Ambos sexos;30 años;2010S2;-5
02 Albacete;Ambos sexos;30 años;2010S1;18
02 Albacete;Ambos sexos;30 años;2009S2;-21
02 Albacete;Ambos sexos;30 años;2009S1;14
02 Albacete;Ambos sexos;30 años;2008S2;-21
02 Albacete;Ambos sexos;30 años;2008S1;-18
02 Albacete;Ambos sexos;31 años;2021S1;-8
02 Albacete;Ambos sexos;31 años;2020S2;-2
02 Albacete;Ambos sexos;31 años;2020S1;-26
02 Albacete;Ambos sexos;31 años;2019S2;-24
02 Albacete;Ambos sexos;31 años;2019S1;-29
02 Albacete;Ambos sexos;31 años;2018S2;-14
02 Albacete;Ambos sexos;31 años;2018S1;-27
02 Albacete;Ambos sexos;31 años;2017S2;-30
02 Albacete;Ambos sexos;31 años;2017S1;-47
02 Albacete;Ambos sexos;31 años;2016S2;-21
02 Albacete;Ambos sexos;31 años;2016S1;-22
02 Albacete;Ambos sexos;31 años;2015S2;-25
02 Albacete;Ambos sexos;31 años;2015S1;-33
02 Albacete;Ambos sexos;31 años;2014S2;-27
02 Albacete;Ambos sexos;31 años;2014S1;-10
02 Albacete;Ambos sexos;31 años;2013S2;4
02 Albacete;Ambos sexos;31 años;2013S1;-59
02 Albacete;Ambos sexos;31 años;2012S2;-10
02 Albacete;Ambos sexos;31 años;2012S1;-22
02 Albacete;Ambos sexos;31 años;2011S2;-14
02 Albacete;Ambos sexos;31 años;2011S1;-20
02 Albacete;Ambos sexos;31 años;2010S2;-28
02 Albacete;Ambos sexos;31 años;2010S1;8
02 Albacete;Ambos sexos;31 años;2009S2;-12
02 Albacete;Ambos sexos;31 años;2009S1;-12
02 Albacete;Ambos sexos;31 años;2008S2;13
02 Albacete;Ambos sexos;31 años;2008S1;-6
02 Albacete;Ambos sexos;32 años;2021S1;-15
02 Albacete;Ambos sexos;32 años;2020S2;10
02 Albacete;Ambos sexos;32 años;2020S1;-16
02 Albacete;Ambos sexos;32 años;2019S2;-6
02 Albacete;Ambos sexos;32 años;2019S1;-6
02 Albacete;Ambos sexos;32 años;2018S2;-8
02 Albacete;Ambos sexos;32 años;2018S1;-40
02 Albacete;Ambos sexos;32 años;2017S2;-15
02 Albacete;Ambos sexos;32 años;2017S1;-20
02 Albacete;Ambos sexos;32 años;2016S2;-26
02 Albacete;Ambos sexos;32 años;2016S1;-32
02 Albacete;Ambos sexos;32 años;2015S2;-32
02 Albacete;Ambos sexos;32 años;2015S1;-56
02 Albacete;Ambos sexos;32 años;2014S2;-43
02 Albacete;Ambos sexos;32 años;2014S1;-17
02 Albacete;Ambos sexos;32 años;2013S2;-15
02 Albacete;Ambos sexos;32 años;2013S1;-24
02 Albacete;Ambos sexos;32 años;2012S2;-15
02 Albacete;Ambos sexos;32 años;2012S1;-8
02 Albacete;Ambos sexos;32 años;2011S2;16
02 Albacete;Ambos sexos;32 años;2011S1;-3
02 Albacete;Ambos sexos;32 años;2010S2;-11
02 Albacete;Ambos sexos;32 años;2010S1;-23
02 Albacete;Ambos sexos;32 años;2009S2;25
02 Albacete;Ambos sexos;32 años;2009S1;-14
02 Albacete;Ambos sexos;32 años;2008S2;-6
02 Albacete;Ambos sexos;32 años;2008S1;-11
02 Albacete;Ambos sexos;33 años;2021S1;6
02 Albacete;Ambos sexos;33 años;2020S2;10
02 Albacete;Ambos sexos;33 años;2020S1;-22
02 Albacete;Ambos sexos;33 años;2019S2;-5
02 Albacete;Ambos sexos;33 años;2019S1;-23
02 Albacete;Ambos sexos;33 años;2018S2;-25
02 Albacete;Ambos sexos;33 años;2018S1;-18
02 Albacete;Ambos sexos;33 años;2017S2;-11
02 Albacete;Ambos sexos;33 años;2017S1;-27
02 Albacete;Ambos sexos;33 años;2016S2;-30
02 Albacete;Ambos sexos;33 años;2016S1;-56
02 Albacete;Ambos sexos;33 años;2015S2;-6
02 Albacete;Ambos sexos;33 años;2015S1;-46
02 Albacete;Ambos sexos;33 años;2014S2;-20
02 Albacete;Ambos sexos;33 años;2014S1;-30
02 Albacete;Ambos sexos;33 años;2013S2;-23
02 Albacete;Ambos sexos;33 años;2013S1;-20
02 Albacete;Ambos sexos;33 años;2012S2;-17
02 Albacete;Ambos sexos;33 años;2012S1;-17
02 Albacete;Ambos sexos;33 años;2011S2;-11
02 Albacete;Ambos sexos;33 años;2011S1;-5
02 Albacete;Ambos sexos;33 años;2010S2;6
02 Albacete;Ambos sexos;33 años;2010S1;-17
02 Albacete;Ambos sexos;33 años;2009S2;-19
02 Albacete;Ambos sexos;33 años;2009S1;9
02 Albacete;Ambos sexos;33 años;2008S2;9
02 Albacete;Ambos sexos;33 años;2008S1;-12
02 Albacete;Ambos sexos;34 años;2021S1;-14
02 Albacete;Ambos sexos;34 años;2020S2;-14
02 Albacete;Ambos sexos;34 años;2020S1;-5
02 Albacete;Ambos sexos;34 años;2019S2;6
02 Albacete;Ambos sexos;34 años;2019S1;-23
02 Albacete;Ambos sexos;34 años;2018S2;-25
02 Albacete;Ambos sexos;34 años;2018S1;-34
02 Albacete;Ambos sexos;34 años;2017S2;-24
02 Albacete;Ambos sexos;34 años;2017S1;-35
02 Albacete;Ambos sexos;34 años;2016S2;-18
02 Albacete;Ambos sexos;34 años;2016S1;-22
02 Albacete;Ambos sexos;34 años;2015S2;-24
02 Albacete;Ambos sexos;34 años;2015S1;-36
02 Albacete;Ambos sexos;34 años;2014S2;-31
02 Albacete;Ambos sexos;34 años;2014S1;-31
02 Albacete;Ambos sexos;34 años;2013S2;-12
02 Albacete;Ambos sexos;34 años;2013S1;-35
02 Albacete;Ambos sexos;34 años;2012S2;-19
02 Albacete;Ambos sexos;34 años;2012S1;-56
02 Albacete;Ambos sexos;34 años;2011S2;-8
02 Albacete;Ambos sexos;34 años;2011S1;-15
02 Albacete;Ambos sexos;34 años;2010S2;-18
02 Albacete;Ambos sexos;34 años;2010S1;-26
02 Albacete;Ambos sexos;34 años;2009S2;16
02 Albacete;Ambos sexos;34 años;2009S1;25
02 Albacete;Ambos sexos;34 años;2008S2;6
02 Albacete;Ambos sexos;34 años;2008S1;-41
03 Alicante/Alacant;Ambos sexos;16 años;2021S1;10
03 Alicante/Alacant;Ambos sexos;16 años;2020S2;-4
03 Alicante/Alacant;Ambos sexos;16 años;2020S1;9
03 Alicante/Alacant;Ambos sexos;16 años;2019S2;8
